h,fullname,last_obs_jd,last_obs,ts_max,ps_max,n_imp,ps_cum,des,v_inf,diameter,range,id,ip
27.10,(2016 LE10),2457548.5,2016-06-09,0,-7.52,3,-7.22,2016 LE10,12.6309981367424,0.013,2035-2072,bK16L10E,3.8642e-07
27.74,(2017 QM33),2457995.5,2017-08-30,0,-6.12,9,-6.08,2017 QM33,17.6161809309834,0.0096,2084-2103,bK17Q33M,1.388231e-05
21.52,(2024 QP2),2460757.5,2025-03-23,0,-4.74,1,-4.74,2024 QP2,9.53,0.17,2111-2111,bK24Q02P,8.020e-07
25.78,(2018 GS3),2458228.5,2018-04-20,0,-6.70,1,-6.70,2018 GS3,19.99,0.024,2119-2119,bK18G03S,5.235e-07
24.84,(2011 BF40),2455595.5,2011-02-03,0,-5.70,1,-5.70,2011 BF40,18.50,0.037,2083-2083,bK11B40F,1.243e-06
25.45,(2011 BP40),2455596.5,2011-02-04,0,-6.19,29,-5.78,2011 BP40,3.45759326497937,0.0276,2031-2119,bK11B40P,1.7299071e-06
25.40,(2013 RR43),2456559.5,2013-09-24,0,-7.04,5,-6.76,2013 RR43,19.0435734614944,0.028,2039-2091,bK13R43R,9.5921e-08
28.50,(2016 SX1),2457662.5,2016-10-01,0,-8.63,1,-8.63,2016 SX1,2.70,0.0067,2119-2119,bK16S01X,3.712e-07
22.77,(2015 HL182),2457134.5,2015-04-22,0,-6.86,1,-6.86,2015 HL182,21.27,0.094,2077-2077,bK15HI2L,6.568e-09
22.55,(2015 RD36),2457302.5,2015-10-07,0,-6.34,1,-6.34,2015 RD36,36.46,0.1,2099-2099,bK15R36D,1.171e-08
28.36,(2015 YM1),2457394.5,2016-01-07,0,-7.18,15,-7.01,2015 YM1,6.81214121873578,0.0072,2095-2122,bK15Y01M,8.72363e-06
27.29,(2014 WR362),2456988.5,2014-11-27,0,-8.38,1,-8.38,2014 WR362,12.07,0.012,2078-2078,bK14Wa2R,5.454e-08
24.86,(2015 FH37),2457107.5,2015-03-26,0,-8.03,2,-7.93,2015 FH37,18.3047572357877,0.036,2078-2113,bK15F37H,1.0607e-08
26.23,(2018 XF2),2458494.5,2019-01-11,0,-7.02,2,-6.78,2018 XF2,9.90586959623342,0.019,2119-2119,bK18X02F,1.4018e-06
27.15,(2005 WY),2453701.5,2005-11-27,0,-9.46,2,-9.42,2005 WY,8.13627168336184,0.013,2060-2107,bK05W00Y,4.093e-09
28.12,(2019 BX1),2458519.5,2019-02-05,0,-7.58,7,-7.23,2019 BX1,3.8948827113721,0.0081,2067-2120,bK19B01X,3.80088e-06
28.59,(2017 FL64),2457844.5,2017-04-01,0,-7.57,1,-7.57,2017 FL64,2.43,0.0065,2118-2118,bK17F64L,4.766e-06
24.42,(2009 CZ1),2454867.5,2009-02-05,0,-5.68,3,-5.45,2009 CZ1,17.8765610786866,0.044,2058-2111,bK09C01Z,9.87423e-07
26.96,(1993 HP1),2449104.5,1993-04-27,0,-8.61,2,-8.41,1993 HP1,9.73497672753312,0.014,2065-2112,bJ93H01P,5.586e-08
27.69,(2012 BU1),2455951.5,2012-01-25,0,-6.36,34,-5.88,2012 BU1,8.96469816874997,0.0098,2069-2121,bK12B01U,4.83525016e-05
25.71,(2012 CL17),2455968.5,2012-02-11,0,-6.68,16,-6.20,2012 CL17,21.4870161563275,0.0242,2096-2115,bK12C17L,1.2016159e-06
26.40,(2018 CK),2458165.5,2018-02-16,0,-8.74,2,-8.68,2018 CK,14.4149378238342,0.018,2072-2073,bK18C00K,7.72e-09
27.82,(2018 NJ),2458340.5,2018-08-10,0,-4.80,29,-4.79,2018 NJ,5.85063143220606,0.0093,2083-2122,bK18N00J,0.0006577992
28.81,(2020 CQ1),2458913.5,2020-03-05,0,-4.34,50,-4.33,2020 CQ1,4.90024764146468,0.0059,2070-2122,bK20C01Q,0.00464635719
29.12,(2016 FC1),2457465.5,2016-03-18,0,-7.66,4,-7.52,2016 FC1,15.1851976328885,0.0051,2082-2088,bK16F01C,2.67668e-06
25.45,(2022 HO2),2459699.5,2022-04-30,0,-5.64,3,-5.64,2022 HO2,15.4799362046655,0.028,2065-2072,bK22H02O,2.367101e-06
28.36,(2008 GM2),2454570.5,2008-04-14,0,-7.37,61,-6.42,2008 GM2,4.61630448211108,0.0072,2071-2122,bK08G02M,4.1370483e-05
29.57,(2008 JL24),2454602.5,2008-05-16,0,-9.04,6,-8.69,2008 JL24,2.72814120568487,0.0041,2091-2111,bK08J24L,8.2957e-07
23.04,(2008 GV),2454562.5,2008-04-06,0,-6.55,1,-6.55,2008 GV,19.67,0.084,2055-2055,bK08G00V,1.150e-08
27.82,(2016 EG28),2457463.5,2016-03-16,0,-7.43,6,-7.17,2016 EG28,14.6575649495093,0.00928,2086-2122,bK16E28G,1.847666e-06
27.84,(2016 EL1),2457450.5,2016-03-03,0,-8.20,10,-7.63,2016 EL1,19.9205545449846,0.00914,2044-2119,bK16E01L,4.06261e-07
28.56,(2016 VB1),2457700.5,2016-11-08,0,-5.45,180,-4.90,2016 VB1,5.45382338055784,0.0066,2065-2121,bK16V01B,0.001360384231
27.90,(2016 WQ1),2457746.5,2016-12-24,0,-8.60,6,-8.25,2016 WQ1,7.67416138112216,0.0089,2084-2116,bK16W01Q,2.6645e-07
29.03,(2016 WW2),2457716.5,2016-11-24,0,-9.91,2,-9.83,2016 WW2,10.0183798184997,0.0053,2107-2107,bK16W02W,2.4022e-08
25.98,(2005 AU3),2453385.5,2005-01-15,0,-6.09,64,-5.37,2005 AU3,14.4054013679866,0.0215,2048-2122,bK05A03U,1.64084499e-05
26.18,(2013 XU21),2456640.5,2013-12-14,0,-6.91,2,-6.90,2013 XU21,11.0421694007365,0.02,2055-2066,bK13X21U,2.987e-07
27.05,(2008 CB6),2454512.5,2008-02-16,0,-7.74,5,-7.31,2008 CB6,7.41013240105761,0.013,2077-2122,bK08C06B,1.102106e-06
28.74,(2024 XV3),2460649.5,2024-12-05,0,-7.93,5,-7.80,2024 XV3,7.46167682767964,0.00601,2090-2124,bK24X03V,2.30292e-06
28.07,(2024 XE6),2460650.5,2024-12-06,0,-7.58,1,-7.58,2024 XE6,18.11,0.0082,2117-2117,bK24X06E,9.479e-07
27.40,(2014 AD16),2456663.5,2014-01-06,0,-5.96,5,-5.96,2014 AD16,8.33010607232784,0.011,2087-2121,bK14A16D,2.476612e-05
25.71,(2018 FY2),2458198.5,2018-03-21,0,-7.21,1,-7.21,2018 FY2,19.77,0.024,2093-2093,bK18F02Y,1.079e-07
25.56,(2008 XU2),2454834.5,2009-01-03,0,-5.98,1,-5.98,2008 XU2,9.93,0.026,2039-2039,bK08X02U,6.265e-07
23.93,(2005 TM173),2453654.5,2005-10-11,0,-5.74,6,-5.71,2005 TM173,9.36335460741127,0.0553,2027-2088,bK05TH3M,6.28151e-08
28.01,(2013 UJ5),2456594.5,2013-10-29,0,-11.21,1,-11.21,2013 UJ5,10.85,0.0085,2092-2092,bK13U05J,2.506e-10
27.95,(2025 FO2),2460765.5,2025-03-31,0,-9.46,1,-9.46,2025 FO2,12.50,0.0087,2077-2077,bK25F02O,9.070e-09
26.18,(2025 DB15),2460757.5,2025-03-23,0,-5.84,5,-5.79,2025 DB15,6.39774683540361,0.02,2059-2124,bK25D15B,7.062591e-06
28.10,(2025 EM),2460756.5,2025-03-22,0,-6.89,116,-6.31,2025 EM,2.32202506670766,0.0081,2069-2125,bK25E00M,3.47586772e-05
27.57,(2025 HX),2460789.5,2025-04-24,0,-4.83,6,-4.82,2025 HX,12.7801199953346,0.01,2051-2124,bK25H00X,0.00012543321
29.14,(2023 PZ),2460178.5,2023-08-22,0,-5.51,47,-5.38,2023 PZ,1.07931571404725,0.005,2077-2124,bK23P00Z,0.00099458362
28.21,(2020 WD),2459193.5,2020-12-10,0,-6.12,15,-5.88,2020 WD,5.68636930638735,0.0077,2055-2120,bK20W00D,0.0001002186766
30.27,(2020 DP14),2458896.5,2020-02-17,0,-9.04,22,-8.40,2020 DP14,6.43942633910656,0.003,2056-2119,bK20D14P,2.3535263e-06
25.48,(2011 CU46),2455604.5,2011-02-12,0,-6.22,73,-5.35,2011 CU46,16.1717403628793,0.027,2061-2122,bK11C46U,8.3237543e-06
24.67,(2011 CW46),2455604.5,2011-02-12,0,-6.71,9,-6.35,2011 CW46,16.6037539788687,0.039,2055-2122,bK11C46W,1.977635e-07
27.86,(2011 SC108),2455831.5,2011-09-27,0,-9.85,1,-9.85,2011 SC108,22.29,0.0091,2111-2111,bK11SA8C,2.884e-09
25.72,(2011 UR63),2455867.5,2011-11-02,0,-7.69,1,-7.69,2011 UR63,12.57,0.024,2110-2110,bK11U63R,7.436e-08
26.17,(2011 WN69),2455895.5,2011-11-30,0,-6.23,6,-5.99,2011 WN69,23.0786571262326,0.02,2086-2109,bK11W69N,3.0756532e-06
25.85,(2012 BA77),2455955.5,2012-01-29,0,-5.03,16,-4.66,2012 BA77,12.7420447445584,0.023,2029-2088,bK12B77A,2.66981515e-05
23.28,(2003 KF4),2452798.5,2003-06-08,0,-6.72,3,-6.45,2003 KF4,9.7158426590947,0.075,2120-2120,bK03K04F,1.1974e-07
30.70,(2012 AQ),2455929.5,2012-01-03,0,-11.06,1,-11.06,2012 AQ,2.71,0.0025,2098-2098,bK12A00Q,1.234e-08
28.46,(2012 VJ38),2456247.5,2012-11-16,0,-5.25,52,-5.18,2012 VJ38,4.44982470774994,0.0069,2031-2119,bK12V38J,0.0001251651513
29.68,(2014 HD198),2456773.5,2014-04-26,0,-7.40,17,-6.99,2014 HD198,17.6451962034166,0.00393,2033-2112,bK14HJ8D,9.390127e-06
25.05,(2020 GA3),2458957.5,2020-04-18,0,-5.80,27,-5.41,2020 GA3,16.8718602207228,0.033,2054-2122,bK20G03A,4.777847e-06
29.32,(2020 FM1),2458932.5,2020-03-24,0,-8.40,9,-7.88,2020 FM1,7.0860205604712,0.0046,2089-2121,bK20F01M,3.5183824e-06
27.71,(2019 GD4),2458601.5,2019-04-28,0,-6.15,73,-5.79,2019 GD4,7.51574144550173,0.0097,2065-2122,bK19G04D,5.72611256e-05
26.49,(2020 PU1),2459079.5,2020-08-18,0,-6.94,12,-6.54,2020 PU1,7.76721020551775,0.017,2047-2117,bK20P01U,1.604387e-06
26.16,(2020 NY),2459051.5,2020-07-21,0,-8.55,2,-8.26,2020 NY,11.7614184625281,0.02,2090-2114,bK20N00Y,3.109e-08
23.68,(2020 OB),2459049.5,2020-07-19,0,-4.27,9,-4.03,2020 OB,25.4387177346572,0.062,2114-2122,bK20O00B,1.70590199e-05
26.90,(2020 OX5),2459061.5,2020-07-31,0,-7.49,1,-7.49,2020 OX5,8.89,0.014,2063-2063,bK20O05X,2.502e-07
24.26,(2020 PQ2),2459081.5,2020-08-20,0,-5.49,3,-5.43,2020 PQ2,20.4030812331695,0.048,2066-2093,bK20P02Q,8.2811e-07
23.84,(2008 UB7),2454770.5,2008-10-31,0,-4.23,50,-3.61,2008 UB7,18.5287607051998,0.058,2044-2101,bK08U07B,3.38449076e-05
27.68,(2023 BR7),2459974.5,2023-01-30,0,-8.54,6,-8.02,2023 BR7,8.63703472464056,0.00986,2093-2117,bK23B07R,4.0202e-07
26.27,(2013 HT14),2456419.5,2013-05-07,0,-6.25,5,-6.08,2013 HT14,20.5273016779706,0.019,2043-2109,bK13H14T,1.799674e-06
26.08,(2017 GG8),2457872.5,2017-04-29,0,-5.04,5,-4.99,2017 GG8,11.4550497320511,0.021,2066-2078,bK17G08G,2.962878e-05
27.52,(2017 LD),2457934.5,2017-06-30,0,-4.70,319,-4.14,2017 LD,4.49430153424141,0.011,2053-2122,bK17L00D,0.0022182503866
28.36,(2017 FW158),2457833.5,2017-03-21,0,-7.37,24,-6.99,2017 FW158,15.2183089251291,0.0072,2045-2120,bK17FF8W,5.7360358e-06
26.28,(2017 OE7),2457969.5,2017-08-04,0,-5.70,6,-5.67,2017 OE7,4.28158747439216,0.019,2106-2119,bK17O07E,2.5917848e-05
27.98,(2017 RK2),2458015.5,2017-09-19,0,-6.71,3,-6.71,2017 RK2,7.30281721582284,0.0086,2083-2121,bK17R02K,8.62323e-06
31.68,(2019 VB5),2458796.5,2019-11-09,0,-8.04,187,-7.58,2019 VB5,5.73212006795379,0.0016,2053-2121,bK19V05B,6.60646588e-05
24.90,(2002 XV90),2452640.5,2003-01-01,0,-7.22,2,-7.21,2002 XV90,7.62768941092083,0.035,2102-2113,bK02X90V,1.33836e-07
27.49,(2020 QC),2459079.5,2020-08-18,0,-6.88,2,-6.74,2020 QC,18.7414758819294,0.011,2038-2041,bK20Q00C,5.556e-07
26.50,(2006 EH1),2453800.5,2006-03-06,0,-9.46,1,-9.46,2006 EH1,13.27,0.017,2112-2112,bK06E01H,2.869e-09
26.86,(2016 TY55),2457680.5,2016-10-19,0,-5.67,31,-5.56,2016 TY55,4.60890867497062,0.014,2074-2121,bK16T55Y,4.2489239e-05
27.59,(2013 AB65),2456307.5,2013-01-15,0,-6.50,18,-6.32,2013 AB65,24.4143899654805,0.01,2094-2122,bK13A65B,6.4834913e-06
25.97,(2013 BL18),2456324.5,2013-02-01,0,-5.32,7,-5.16,2013 BL18,14.1885526468107,0.022,2077-2092,bK13B18L,2.0887742e-05
29.00,(2013 EC20),2456364.5,2013-03-13,0,-8.94,8,-8.58,2013 EC20,2.6833969134365,0.0054,2068-2122,bK13E20C,4.7237e-07
26.46,(2019 YA3),2458854.5,2020-01-06,0,-9.55,1,-9.55,2019 YA3,8.24,0.017,2070-2070,bK19Y03A,1.653e-09
28.53,(2018 WH1),2458465.5,2018-12-13,0,-7.69,27,-7.07,2018 WH1,4.01258277645414,0.0067,2084-2121,bK18W01H,1.1834404e-05
27.64,(2018 WJ),2458441.5,2018-11-19,0,-7.03,7,-6.99,2018 WJ,19.0052136636409,0.01,2045-2116,bK18W00J,5.258452e-07
28.20,(2019 WV1),2458820.5,2019-12-03,0,-7.46,17,-7.14,2019 WV1,8.738700789469,0.0078,2078-2121,bK19W01V,5.5091587e-06
25.77,(2020 UX4),2459175.5,2020-11-22,0,-5.99,8,-5.87,2020 UX4,7.67446846214994,0.024,2074-2112,bK20U04X,6.145235e-06
26.97,(2020 HQ4),2458988.5,2020-05-19,0,-6.03,280,-5.29,2020 HQ4,3.51879321021226,0.014,2051-2122,bK20H04Q,8.92405099e-05
30.10,(2019 EH1),2458543.5,2019-03-01,0,-8.39,37,-7.80,2019 EH1,14.4704686783938,0.0032,2045-2118,bK19E01H,3.414943e-06
26.39,(2018 DZ3),2458178.5,2018-03-01,0,-6.34,3,-6.27,2018 DZ3,10.0452977212,0.018,2068-2113,bK18D03Z,4.6033e-06
29.05,(2014 OP2),2456869.5,2014-07-31,0,-7.81,5,-7.68,2014 OP2,11.6321784672358,0.0052,2071-2119,bK14O02P,1.85782e-06
26.91,(2011 MX),2455739.5,2011-06-27,0,-5.22,32,-4.90,2011 MX,12.1515686075722,0.014,2059-2092,bK11M00X,0.0001146281627
28.48,(2011 UD21),2455889.5,2011-11-24,0,-7.29,3,-6.97,2011 UD21,1.30556527745798,0.0068,2105-2116,bK11U21D,1.56348e-05
27.95,(2019 PO1),2458751.5,2019-09-25,0,-7.15,37,-6.57,2019 PO1,1.96377536742374,0.0087,2084-2122,bK19P01O,1.9678437e-05
26.22,(2014 MB6),2456841.5,2014-07-03,0,-6.61,1,-6.61,2014 MB6,13.07,0.019,2075-2075,bK14M06B,8.812e-07
25.64,(2019 SO6),2458762.5,2019-10-06,0,-7.54,1,-7.54,2019 SO6,27.97,0.025,2069-2069,bK19S06O,1.943e-08
25.97,(2019 YM),2458838.5,2019-12-21,0,-6.61,2,-6.52,2019 YM,17.7512754037131,0.022,2041-2117,bK19Y00M,9.103e-07
23.43,(2017 FO63),2457843.5,2017-03-31,0,-4.63,3,-4.63,2017 FO63,29.2806127993326,0.07,2088-2108,bK17F63O,2.107313e-06
28.33,(2022 OC3),2459794.5,2022-08-03,0,-6.65,67,-6.41,2022 OC3,3.54572885023572,0.0073,2056-2121,bK22O03C,2.26787894e-05
27.84,(2019 TC2),2458780.5,2019-10-24,0,-7.12,64,-6.37,2019 TC2,11.1309786214011,0.00912,2103-2121,bK19T02C,1.89384628e-05
26.55,(2018 LV3),2458283.5,2018-06-14,0,-7.42,1,-7.42,2018 LV3,11.19,0.017,2061-2061,bK18L03V,1.601e-07
27.19,(2017 UK3),2458049.5,2017-10-23,0,-6.67,5,-6.47,2017 UK3,13.3721578036163,0.012,2109-2121,bK17U03K,6.28433e-06
24.18,(2020 DF3),2458924.5,2020-03-16,0,-4.95,5,-4.73,2020 DF3,26.8006688679333,0.0497,2065-2101,bK20D03F,2.808686e-06
27.93,(2022 KE5),2459733.5,2022-06-03,0,-6.72,8,-6.37,2022 KE5,16.9516074749523,0.0088,2075-2115,bK22K05E,9.54976e-06
27.14,(2022 OC5),2459792.5,2022-08-01,0,-8.85,3,-8.52,2022 OC5,9.88104575529102,0.013,2119-2122,bK22O05C,7.1489e-08
24.72,(2014 JU15),2456811.5,2014-06-03,0,-5.04,126,-4.28,2014 JU15,10.3487386356287,0.039,2071-2121,bK14J15U,5.44062323e-05
28.04,(2014 KW76),2456809.5,2014-06-01,0,-8.18,7,-8.06,2014 KW76,15.0048010048408,0.0084,2096-2122,bK14K76W,3.59858e-07
26.23,(2019 AB),2458486.5,2019-01-03,0,-6.36,9,-6.28,2019 AB,9.91341434535185,0.019,2073-2122,bK19A00B,3.74644e-06
23.27,(2008 KN11),2454638.5,2008-06-21,0,-6.11,1,-6.11,2008 KN11,13.83,0.075,2046-2046,bK08K11N,4.159e-08
26.29,(2016 TQ18),2457697.5,2016-11-05,0,-6.11,3,-6.09,2016 TQ18,9.58940567750698,0.019,2086-2110,bK16T18Q,6.7741e-06
26.31,(2011 BG10),2455591.5,2011-01-30,0,-7.33,1,-7.33,2011 BG10,12.31,0.019,2051-2051,bK11B10G,9.682e-08
28.95,(2016 EU84),2457461.5,2016-03-14,0,-8.44,3,-8.34,2016 EU84,2.38933905058905,0.0055,2115-2118,bK16E84U,1.1544e-06
26.99,(2019 FT1),2458582.5,2019-04-09,0,-8.77,1,-8.77,2019 FT1,10.86,0.014,2113-2113,bK19F01T,2.895e-08
27.89,(2020 FG),2458925.5,2020-03-17,0,-8.36,13,-7.74,2020 FG,14.7788176310132,0.0089,2093-2118,bK20F00G,5.88395e-07
28.37,(2022 AP1),2459588.5,2022-01-09,0,-6.08,16,-5.95,2022 AP1,10.4773888772151,0.0072,2059-2107,bK22A01P,5.0935391e-05
27.97,(2019 AH3),2458488.5,2019-01-05,0,-6.06,3,-6.03,2019 AH3,18.0325631888754,0.0086,2060-2067,bK19A03H,1.127018e-05
26.16,(2019 BU1),2458523.5,2019-02-09,0,-6.03,4,-5.99,2019 BU1,14.349987583979,0.02,2056-2063,bK19B01U,2.2241425e-06
27.42,(2018 AU18),2458138.5,2018-01-20,0,-6.82,34,-6.64,2018 AU18,9.57736988336695,0.011,2046-2121,bK18A18U,3.1157892e-06
21.86,(2007 PR25),2454332.5,2007-08-20,0,-6.18,1,-6.18,2007 PR25,29.41,0.14,2118-2118,bK07P25R,1.346e-08
27.03,(2010 TN55),2455485.5,2010-10-16,0,-7.26,23,-6.53,2010 TN55,25.3113705199815,0.013,2086-2117,bK10T55N,1.858893e-06
27.18,(2014 UY57),2456960.5,2014-10-30,0,-8.33,6,-7.88,2014 UY57,8.96519425385935,0.012,2076-2111,bK14U57Y,2.332e-07
26.68,(2008 EF85),2454540.5,2008-03-15,0,-7.89,3,-7.67,2008 EF85,9.52160665210345,0.016,2110-2119,bK08E85F,2.8382e-07
27.06,(2016 TC57),2457697.5,2016-11-05,0,-7.24,1,-7.24,2016 TC57,8.74,0.013,2112-2112,bK16T57C,1.232e-06
24.96,(2020 OM6),2459110.5,2020-09-18,0,-6.20,1,-6.20,2020 OM6,5.05,0.034,2106-2106,bK20O06M,1.561e-06
27.12,(2008 OT7),2454686.5,2008-08-08,0,-8.96,1,-8.96,2008 OT7,9.50,0.013,2110-2110,bK08O07T,2.308e-08
24.40,(2008 KO),2454617.5,2008-05-31,0,-5.69,3,-5.39,2008 KO,23.4876388967229,0.045,2049-2061,bK08K00O,5.3187e-07
29.44,(2008 UA202),2454774.5,2008-11-04,0,-7.17,657,-6.23,2008 UA202,2.30062875322007,0.0044,2046-2122,bK08UK2A,0.0001527888859
27.09,(2014 GQ17),2456777.5,2014-04-30,0,-5.90,153,-5.42,2014 GQ17,5.40740653658347,0.013,2052-2122,bK14G17Q,6.28184986e-05
28.34,(2016 FZ13),2457490.5,2016-04-12,0,-7.22,14,-6.72,2016 FZ13,4.2975432496721,0.0073,2108-2122,bK16F13Z,2.24915e-05
23.28,(2016 WG),2457717.5,2016-11-25,0,-4.92,44,-4.17,2016 WG,23.5992257521589,0.075,2076-2118,bK16W00G,6.2516545e-06
26.14,(2020 BY4),2458874.5,2020-01-26,0,-5.75,18,-5.35,2020 BY4,20.4285705633925,0.02,2055-2122,bK20B04Y,8.634052e-06
27.92,(2014 UZ175),2456961.5,2014-10-31,0,-9.10,1,-9.10,2014 UZ175,6.17,0.0088,2081-2081,bK14UH5Z,3.356e-08
26.78,(2016 BA15),2457418.5,2016-01-31,0,-5.55,28,-5.43,2016 BA15,15.8809910610827,0.015,2050-2114,bK16B15A,1.4482962e-05
25.50,(2023 XP13),2460300.5,2023-12-22,0,-7.27,2,-7.27,2023 XP13,18.0593924365968,0.027,2091-2095,bK23X13P,8.6707e-08
27.75,(2014 DK10),2456723.5,2014-03-07,0,-8.71,3,-8.40,2014 DK10,11.7987219160661,0.0095,2060-2118,bK14D10K,9.436e-08
23.65,(2005 GQ33),2453467.5,2005-04-07,0,-7.40,5,-7.32,2005 GQ33,19.2703266585223,0.0626,2046-2110,bK05G33Q,3.7654e-09
21.89,(2005 NX55),2453563.5,2005-07-12,0,-5.70,21,-5.22,2005 NX55,24.8008830200623,0.14,2028-2081,bK05N55X,1.13746e-08
27.09,(2005 UC3),2453685.5,2005-11-11,0,-7.87,8,-7.47,2005 UC3,7.87382639951125,0.013,2072-2121,bK05U03C,6.59641e-07
28.28,(2008 GF1),2454562.5,2008-04-06,0,-8.66,1,-8.66,2008 GF1,14.61,0.0075,2080-2080,bK08G01F,7.424e-08
22.13,(2007 TC14),2454389.5,2007-10-16,0,-4.83,1,-4.83,2007 TC14,25.55,0.13,2082-2082,bK07T14C,3.007e-07
26.82,(2009 ST171),2455103.5,2009-09-29,0,-6.81,1,-6.81,2009 ST171,9.82,0.015,2066-2066,bK09SH1T,1.118e-06
29.59,(2010 UE),2455486.5,2010-10-17,0,-8.07,2,-7.98,2010 UE,16.1107555930772,0.0041,2032-2044,bK10U00E,2.369e-07
28.20,(2010 VQ98),2455539.5,2010-12-09,0,-6.69,5,-6.61,2010 VQ98,0.998552997758265,0.0078,2109-2121,bK10V98Q,2.889726e-05
30.30,(2014 HJ197),2456772.5,2014-04-25,0,-7.70,82,-7.19,2014 HJ197,4.4972087814299,0.00294,2045-2122,bK14HJ7J,2.36452289e-05
25.94,(2025 CJ3),2460717.5,2025-02-11,0,-6.03,1,-6.03,2025 CJ3,8.44,0.022,2119-2119,bK25C03J,6.433e-06
29.77,(2016 WT),2457716.5,2016-11-24,0,-7.86,70,-7.03,2016 WT,10.707226567419,0.0038,2058-2121,bK16W00T,3.26508676e-05
26.68,(2016 CB248),2457455.5,2016-03-08,0,-8.16,1,-8.16,2016 CB248,11.41,0.016,2121-2121,bK16CO8B,8.799e-08
26.64,(2021 GG1),2459311.5,2021-04-07,0,-5.79,66,-5.19,2021 GG1,14.7793127909127,0.016,2073-2122,bK21G01G,4.96736461e-05
28.29,(2021 BN),2459255.5,2021-02-10,0,-8.57,17,-7.91,2021 BN,7.65708428190433,0.0075,2095-2122,bK21B00N,1.0819784e-06
28.70,(2021 UK20),2459517.5,2021-10-30,0,-6.36,78,-6.13,2021 UK20,7.99219302332497,0.00618,2028-2121,bK21U20K,2.79351151e-05
27.89,(2020 UB),2459141.5,2020-10-19,0,-8.30,1,-8.30,2020 UB,11.21,0.0089,2080-2080,bK20U00B,1.407e-07
26.27,(2021 GL16),2459334.5,2021-04-30,0,-8.32,1,-8.32,2021 GL16,5.69,0.019,2111-2111,bK21G16L,5.192e-08
29.64,(2019 JH7),2458619.5,2019-05-16,0,-8.91,2,-8.62,2019 JH7,9.05503593145384,0.004,2114-2118,bK19J07H,9.045e-07
27.76,(2017 UJ43),2458060.5,2017-11-03,0,-5.82,29,-5.68,2017 UJ43,6.90404943515735,0.0095,2050-2116,bK17U43J,5.09232525e-05
24.39,(2017 UL7),2458056.5,2017-10-30,0,-5.66,2,-5.58,2017 UL7,16.2187833076415,0.045,2041-2054,bK17U07L,3.6328e-07
29.86,(2018 WH),2458443.5,2018-11-21,0,-7.11,360,-6.12,2018 WH,7.49790587658109,0.0036,2053-2121,bK18W00H,0.0002861542952
25.58,(2021 JA1),2459339.5,2021-05-05,0,-5.27,39,-5.01,2021 JA1,20.9845807514649,0.026,2084-2121,bK21J01A,1.86664397e-05
26.41,(2018 CN),2458156.5,2018-02-07,0,-7.86,2,-7.75,2018 CN,19.7943078548785,0.018,2082-2082,bK18C00N,5.678e-08
23.92,(2008 DA4),2454538.5,2008-03-13,0,-6.36,3,-6.10,2008 DA4,11.1587813678858,0.056,2091-2100,bK08D04A,3.6582e-07
25.03,(2018 BH1),2458142.5,2018-01-24,0,-8.22,2,-8.16,2018 BH1,13.2475396743076,0.0332,2095-2116,bK18B01H,9.641e-09
27.93,(2012 DY13),2455984.5,2012-02-27,0,-8.30,4,-8.23,2012 DY13,16.966126099206,0.0088,2074-2116,bK12D13Y,1.1713e-07
27.64,(2009 WJ6),2455155.5,2009-11-20,0,-7.38,1,-7.38,2009 WJ6,18.16,0.01,2049-2049,bK09W06J,2.432e-07
26.22,(2013 VW13),2456629.5,2013-12-03,0,-4.03,14,-3.85,2013 VW13,16.3499891189838,0.019,2063-2095,bK13V13W,0.000439083988
27.72,(2014 EU),2456745.5,2014-03-29,0,-8.13,5,-7.83,2014 EU,5.60932483207659,0.0097,2083-2121,bK14E00U,7.7714e-07
26.61,(2014 AK51),2456670.5,2014-01-13,0,-8.96,1,-8.96,2014 AK51,10.27,0.016,2110-2110,bK14A51K,1.262e-08
27.54,(2016 UR36),2457691.5,2016-10-30,0,-9.04,2,-8.98,2016 UR36,16.7236987381703,0.011,2107-2118,bK16U36R,2.2824e-08
28.09,(2020 SA2),2459114.5,2020-09-22,0,-9.17,1,-9.17,2020 SA2,15.63,0.0082,2117-2117,bK20S02A,2.908e-08
25.56,(2007 EZ25),2454174.5,2007-03-15,0,-6.93,7,-6.50,2007 EZ25,20.7596206199654,0.026,2078-2100,bK07E25Z,4.18604e-07
27.75,(2007 HB15),2454214.5,2007-04-24,0,-4.85,97,-4.68,2007 HB15,6.34495724236018,0.0096,2050-2122,bK07H15B,0.000511244320300001
25.90,(2002 CA26),2452317.5,2002-02-12,0,-9.33,1,-9.33,2002 CA26,11.85,0.022,2120-2120,bK02C26A,2.415e-09
28.05,(2003 UM3),2452930.5,2003-10-18,0,-8.68,3,-8.60,2003 UM3,13.2010901076849,0.00832,2030-2057,bK03U03M,3.90677e-08
26.98,(2005 VN5),2453686.5,2005-11-12,0,-5.81,89,-5.34,2005 VN5,6.57095459151333,0.014,2047-2121,bK05V05N,5.6284787e-05
27.50,(2022 EA7),2459666.5,2022-03-28,0,-8.76,1,-8.76,2022 EA7,7.98,0.011,2114-2114,bK22E07A,6.533e-08
26.51,(2020 TO2),2459135.5,2020-10-13,0,-6.30,4,-6.03,2020 TO2,12.5577031327029,0.017,2119-2121,bK20T02O,8.9252e-06
